--- Trace Log Iniciado ---
[1763823425.225690] [Estudante 01] GET_FOOD        | Eat:0 Wait:0 | Pegando comida
[1763823425.225699] [Estudante 02] GET_FOOD        | Eat:0 Wait:0 | Pegando comida
[1763823425.225706] [Estudante 03] GET_FOOD        | Eat:0 Wait:0 | Pegando comida
[1763823425.225715] [Estudante 04] GET_FOOD        | Eat:0 Wait:0 | Pegando comida
[1763823425.225724] [Estudante 05] GET_FOOD        | Eat:0 Wait:0 | Pegando comida
[1763823425.225733] [Estudante 06] GET_FOOD        | Eat:0 Wait:0 | Pegando comida
[1763823425.225742] [Estudante 07] GET_FOOD        | Eat:0 Wait:0 | Pegando comida
[1763823425.225750] [Estudante 08] GET_FOOD        | Eat:0 Wait:0 | Pegando comida
[1763823425.225760] [Estudante 09] GET_FOOD        | Eat:0 Wait:0 | Pegando comida
[1763823425.225769] [Estudante 10] GET_FOOD        | Eat:0 Wait:0 | Pegando comida
[1763823425.238338] [Estudante 04] REQ_ENTRY       | Eat:0 Wait:0 | Tentando sentar
[1763823425.238375] [Estudante 04] WAIT_ENTRY      | Eat:0 Wait:1 | Aguardando par
[1763823425.244931] [Estudante 08] REQ_ENTRY       | Eat:0 Wait:1 | Tentando sentar
[1763823425.244985] [Estudante 08] ENTERED         | Eat:1 Wait:1 | Conseguiu mesa
[1763823425.244999] [Estudante 08] EATING          | Eat:1 Wait:1 | Comendo
[1763823425.245006] [Estudante 04] ENTERED         | Eat:2 Wait:0 | Conseguiu mesa
[1763823425.245028] [Estudante 04] EATING          | Eat:2 Wait:0 | Comendo
[1763823425.251852] [Estudante 03] REQ_ENTRY       | Eat:2 Wait:0 | Tentando sentar
[1763823425.251885] [Estudante 03] ENTERED         | Eat:3 Wait:0 | Conseguiu mesa
[1763823425.251895] [Estudante 03] EATING          | Eat:3 Wait:0 | Comendo
[1763823425.258627] [Estudante 01] REQ_ENTRY       | Eat:3 Wait:0 | Tentando sentar
[1763823425.258647] [Estudante 01] ENTERED         | Eat:4 Wait:0 | Conseguiu mesa
[1763823425.258657] [Estudante 01] EATING          | Eat:4 Wait:0 | Comendo
[1763823425.262762] [Estudante 07] REQ_ENTRY       | Eat:4 Wait:0 | Tentando sentar
[1763823425.262779] [Estudante 07] ENTERED         | Eat:5 Wait:0 | Conseguiu mesa
[1763823425.262788] [Estudante 07] EATING          | Eat:5 Wait:0 | Comendo
[1763823425.267810] [Estudante 02] REQ_ENTRY       | Eat:5 Wait:0 | Tentando sentar
[1763823425.267839] [Estudante 02] ENTERED         | Eat:6 Wait:0 | Conseguiu mesa
[1763823425.267851] [Estudante 02] EATING          | Eat:6 Wait:0 | Comendo
[1763823425.273860] [Estudante 06] REQ_ENTRY       | Eat:6 Wait:0 | Tentando sentar
[1763823425.273908] [Estudante 06] ENTERED         | Eat:7 Wait:0 | Conseguiu mesa
[1763823425.273917] [Estudante 06] EATING          | Eat:7 Wait:0 | Comendo
[1763823425.274258] [Estudante 10] REQ_ENTRY       | Eat:7 Wait:0 | Tentando sentar
[1763823425.274273] [Estudante 10] ENTERED         | Eat:8 Wait:0 | Conseguiu mesa
[1763823425.274283] [Estudante 10] EATING          | Eat:8 Wait:0 | Comendo
[1763823425.274289] [Estudante 01] REQ_LEAVE       | Eat:8 Wait:0 | Tentando sair
[1763823425.274304] [Estudante 01] LEFT            | Eat:7 Wait:0 | Saiu do refeitório
[1763823425.274312] [Estudante 01] GET_FOOD        | Eat:7 Wait:0 | Pegando comida
[1763823425.274318] [Estudante 09] REQ_ENTRY       | Eat:7 Wait:0 | Tentando sentar
[1763823425.274330] [Estudante 09] ENTERED         | Eat:8 Wait:0 | Conseguiu mesa
[1763823425.274338] [Estudante 09] EATING          | Eat:8 Wait:0 | Comendo
[1763823425.274343] [Estudante 05] REQ_ENTRY       | Eat:8 Wait:0 | Tentando sentar
[1763823425.274354] [Estudante 05] ENTERED         | Eat:9 Wait:0 | Conseguiu mesa
[1763823425.274360] [Estudante 05] EATING          | Eat:9 Wait:0 | Comendo
[1763823425.277804] [Estudante 08] REQ_LEAVE       | Eat:9 Wait:0 | Tentando sair
[1763823425.277828] [Estudante 08] LEFT            | Eat:8 Wait:0 | Saiu do refeitório
[1763823425.277844] [Estudante 08] GET_FOOD        | Eat:8 Wait:0 | Pegando comida
[1763823425.286620] [Estudante 02] REQ_LEAVE       | Eat:8 Wait:0 | Tentando sair
[1763823425.286643] [Estudante 02] LEFT            | Eat:7 Wait:0 | Saiu do refeitório
[1763823425.286652] [Estudante 02] GET_FOOD        | Eat:7 Wait:0 | Pegando comida
[1763823425.289334] [Estudante 01] REQ_ENTRY       | Eat:7 Wait:0 | Tentando sentar
[1763823425.289369] [Estudante 01] ENTERED         | Eat:8 Wait:0 | Conseguiu mesa
[1763823425.289383] [Estudante 01] EATING          | Eat:8 Wait:0 | Comendo
[1763823425.296750] [Estudante 05] REQ_LEAVE       | Eat:8 Wait:0 | Tentando sair
[1763823425.296803] [Estudante 05] LEFT            | Eat:7 Wait:0 | Saiu do refeitório
[1763823425.296819] [Estudante 05] GET_FOOD        | Eat:7 Wait:0 | Pegando comida
[1763823425.297375] [Estudante 03] REQ_LEAVE       | Eat:7 Wait:0 | Tentando sair
[1763823425.297407] [Estudante 03] LEFT            | Eat:6 Wait:0 | Saiu do refeitório
[1763823425.297427] [Estudante 03] GET_FOOD        | Eat:6 Wait:0 | Pegando comida
[1763823425.297439] [Estudante 04] REQ_LEAVE       | Eat:6 Wait:0 | Tentando sair
[1763823425.297460] [Estudante 04] LEFT            | Eat:5 Wait:0 | Saiu do refeitório
[1763823425.297471] [Estudante 04] GET_FOOD        | Eat:5 Wait:0 | Pegando comida
[1763823425.305926] [Estudante 06] REQ_LEAVE       | Eat:5 Wait:0 | Tentando sair
[1763823425.305959] [Estudante 06] LEFT            | Eat:4 Wait:0 | Saiu do refeitório
[1763823425.305983] [Estudante 06] GET_FOOD        | Eat:4 Wait:0 | Pegando comida
[1763823425.305995] [Estudante 07] REQ_LEAVE       | Eat:4 Wait:0 | Tentando sair
[1763823425.306029] [Estudante 07] LEFT            | Eat:3 Wait:0 | Saiu do refeitório
[1763823425.306040] [Estudante 07] GET_FOOD        | Eat:3 Wait:0 | Pegando comida
[1763823425.307914] [Estudante 01] REQ_LEAVE       | Eat:3 Wait:0 | Tentando sair
[1763823425.307948] [Estudante 01] LEFT            | Eat:2 Wait:0 | Saiu do refeitório
[1763823425.307963] [Estudante 01] GET_FOOD        | Eat:2 Wait:0 | Pegando comida
[1763823425.308109] [Estudante 02] REQ_ENTRY       | Eat:2 Wait:0 | Tentando sentar
[1763823425.308133] [Estudante 02] ENTERED         | Eat:3 Wait:0 | Conseguiu mesa
[1763823425.308144] [Estudante 02] EATING          | Eat:3 Wait:0 | Comendo
[1763823425.314382] [Estudante 03] REQ_ENTRY       | Eat:3 Wait:0 | Tentando sentar
[1763823425.314414] [Estudante 03] ENTERED         | Eat:4 Wait:0 | Conseguiu mesa
[1763823425.314427] [Estudante 03] EATING          | Eat:4 Wait:0 | Comendo
[1763823425.317303] [Estudante 10] REQ_LEAVE       | Eat:4 Wait:0 | Tentando sair
[1763823425.317323] [Estudante 10] LEFT            | Eat:3 Wait:0 | Saiu do refeitório
[1763823425.317334] [Estudante 10] GET_FOOD        | Eat:3 Wait:0 | Pegando comida
[1763823425.324644] [Estudante 09] REQ_LEAVE       | Eat:3 Wait:0 | Tentando sair
[1763823425.324672] [Estudante 09] LEFT            | Eat:2 Wait:0 | Saiu do refeitório
[1763823425.324679] [Estudante 09] GET_FOOD        | Eat:2 Wait:0 | Pegando comida
[1763823425.328072] [Estudante 08] REQ_ENTRY       | Eat:2 Wait:0 | Tentando sentar
[1763823425.328098] [Estudante 08] ENTERED         | Eat:3 Wait:0 | Conseguiu mesa
[1763823425.328104] [Estudante 08] EATING          | Eat:3 Wait:0 | Comendo
[1763823425.331070] [Estudante 07] REQ_ENTRY       | Eat:3 Wait:0 | Tentando sentar
[1763823425.331103] [Estudante 07] ENTERED         | Eat:4 Wait:0 | Conseguiu mesa
[1763823425.331117] [Estudante 07] EATING          | Eat:4 Wait:0 | Comendo
[1763823425.331958] [Estudante 03] REQ_LEAVE       | Eat:4 Wait:0 | Tentando sair
[1763823425.331990] [Estudante 03] LEFT            | Eat:3 Wait:0 | Saiu do refeitório
[1763823425.332004] [Estudante 03] GET_FOOD        | Eat:3 Wait:0 | Pegando comida
[1763823425.336607] [Estudante 04] REQ_ENTRY       | Eat:3 Wait:0 | Tentando sentar
